date,vix_close,vxc1_close,vxc2_close
2004-03-26 22:00:00,,20.89,
2004-03-29 22:00:00,,20.97,
2004-03-30 22:00:00,,21.0,
2004-03-31 22:00:00,,21.13,
2004-04-01 22:00:00,,21.25,
2004-04-02 22:00:00,,21.0,
2004-04-05 21:00:00,,21.01,
2004-04-06 21:00:00,,21.19,
2004-04-07 21:00:00,,21.5,
2004-04-08 21:00:00,,21.43,
2004-04-12 21:00:00,,21.32,
2004-04-13 21:00:00,,21.69,
2004-04-14 21:00:00,,21.63,
2004-04-15 21:00:00,,21.67,
2004-04-16 21:00:00,,21.54,
2004-04-19 21:00:00,,21.66,
2004-04-20 21:00:00,,21.71,
2004-04-21 21:00:00,,21.5,
2004-04-22 21:00:00,,21.07,
2004-04-23 21:00:00,,21.26,
2004-04-26 21:00:00,,21.2,
2004-04-27 21:00:00,,21.2,
2004-04-28 21:00:00,,21.31,
2004-04-29 21:00:00,,21.5,
2004-04-30 21:00:00,,21.41,
2004-05-03 21:00:00,,21.25,
2004-05-04 21:00:00,,21.14,
2004-05-05 21:00:00,,20.9,
2004-05-06 21:00:00,,21.28,
2004-05-07 21:00:00,,21.32,
2004-05-10 21:00:00,,21.76,
2004-05-11 21:00:00,,21.42,
2004-05-12 21:00:00,,21.58,
2004-05-13 21:00:00,,21.58,
2004-05-14 21:00:00,,21.15,
2004-05-17 21:00:00,,21.21,
2004-05-18 21:00:00,,21.25,
2004-05-19 21:00:00,,21.18,
2004-05-20 21:00:00,,21.13,
2004-05-21 21:00:00,,21.1,
2004-05-24 21:00:00,,21.0,
2004-05-25 21:00:00,,20.6,
2004-05-26 21:00:00,,20.61,
2004-05-27 21:00:00,,20.68,
2004-05-28 21:00:00,,20.75,
2004-06-01 21:00:00,,20.85,
2004-06-02 21:00:00,,20.7,
2004-06-03 21:00:00,,20.8,
2004-06-04 21:00:00,,20.87,
2004-06-07 21:00:00,,20.61,
2004-06-08 21:00:00,,20.53,
2004-06-09 21:00:00,,20.55,
2004-06-10 21:00:00,,20.63,
2004-06-14 21:00:00,,20.63,
2004-06-15 21:00:00,,20.7,
2004-06-16 21:00:00,,20.09,
2004-06-17 21:00:00,,20.05,
2004-06-18 21:00:00,,20.0,
2004-06-21 21:00:00,,20.07,
2004-06-22 21:00:00,,20.11,
2004-06-23 21:00:00,,19.48,
2004-06-24 21:00:00,,19.62,
2004-06-25 21:00:00,,19.8,
2004-06-28 21:00:00,,20.06,
2004-06-29 21:00:00,,20.09,
2004-06-30 21:00:00,,19.99,
2004-07-01 21:00:00,,20.1,
2004-07-02 21:00:00,,20.16,
2004-07-06 21:00:00,,20.33,
2004-07-07 21:00:00,,20.36,
2004-07-08 21:00:00,,20.38,
2004-07-09 21:00:00,,20.48,
2004-07-12 21:00:00,,20.58,
2004-07-13 21:00:00,,20.63,
2004-07-14 21:00:00,,20.55,
2004-07-15 21:00:00,,20.51,
2004-07-16 21:00:00,,20.63,
2004-07-19 21:00:00,,20.73,
2004-07-20 21:00:00,,20.69,
2004-07-21 21:00:00,,21.03,
2004-07-22 21:00:00,,20.9,
2004-07-23 21:00:00,,21.17,
2004-07-26 21:00:00,,21.46,
2004-07-27 21:00:00,,21.24,
2004-07-28 21:00:00,,21.5,
2004-07-29 21:00:00,,21.79,
2004-07-30 21:00:00,,21.57,
2004-08-02 21:00:00,,21.5,
2004-08-03 21:00:00,,21.6,
2004-08-04 21:00:00,,21.6,
2004-08-05 21:00:00,,21.7,
2004-08-06 21:00:00,,21.9,
2004-08-09 21:00:00,,21.86,
2004-08-10 21:00:00,,21.54,
2004-08-11 21:00:00,,21.53,
2004-08-12 21:00:00,,21.73,
2004-08-13 21:00:00,,21.66,
2004-08-16 21:00:00,,21.63,
2004-08-17 21:00:00,,21.51,
2004-08-18 21:00:00,,21.3,
2004-08-19 21:00:00,,21.44,
2004-08-20 21:00:00,,21.35,
2004-08-23 21:00:00,,21.48,
2004-08-24 21:00:00,,21.35,
2004-08-25 21:00:00,,20.16,
2004-08-26 21:00:00,,20.05,
2004-08-27 21:00:00,,19.9,
2004-08-30 21:00:00,,20.15,
2004-08-31 21:00:00,,19.98,
2004-09-01 21:00:00,,19.99,
2004-09-02 21:00:00,,19.45,
2004-09-03 21:00:00,,19.2,
2004-09-07 21:00:00,,18.87,
2004-09-08 21:00:00,,18.9,
2004-09-09 21:00:00,,18.75,
2004-09-10 21:00:00,,18.52,
2004-09-13 21:00:00,,18.0,
2004-09-14 21:00:00,,17.85,
2004-09-15 21:00:00,,18.1,
2004-09-16 21:00:00,,18.2,
2004-09-17 21:00:00,,17.8,
2004-09-20 21:00:00,,18.47,
2004-09-21 21:00:00,,18.62,
2004-09-22 21:00:00,,18.84,
2004-09-23 21:00:00,,18.84,
2004-09-24 21:00:00,,18.9,
2004-09-27 21:00:00,,18.97,
2004-09-28 21:00:00,,18.98,
2004-09-29 21:00:00,,18.64,
2004-09-30 21:00:00,,18.7,
2004-10-01 21:00:00,,18.2,
2004-10-04 21:00:00,,18.14,
2004-10-05 21:00:00,,18.0,
2004-10-06 21:00:00,,17.86,
2004-10-07 21:00:00,,17.79,
2004-10-08 21:00:00,,17.89,
2004-10-11 21:00:00,,17.75,
2004-10-12 21:00:00,,17.89,
2004-10-13 21:00:00,,17.94,
2004-10-14 21:00:00,,18.01,
2004-10-15 21:00:00,,17.89,
2004-10-18 21:00:00,,17.73,
2004-10-19 21:00:00,,17.72,
2004-10-20 21:00:00,,18.05,
2004-10-21 21:00:00,,17.95,
2004-10-22 21:00:00,,17.89,
2004-10-25 21:00:00,,18.42,
2004-10-26 21:00:00,,18.5,
2004-10-27 21:00:00,,18.15,
2004-10-28 21:00:00,,18.1,
2004-10-29 21:00:00,,18.09,
2004-11-01 22:00:00,,18.11,
2004-11-02 22:00:00,,17.9,
2004-11-03 22:00:00,,17.4,
